mass,log_mass,year,reclat,reclong,fall,recclass
2750.0,7.919356190660617,1818,55.0,35.0,Fell,L4
30000.0,10.308952660644293,1975,21.66667,-103.36667,Fell,LL5
6400.0,8.764053269347762,1790,43.95,-0.05,Fell,H5
3840.0,8.253227645581772,1903,23.5,90.33333,Fell,H5
4500.0,8.411832675758411,1910,31.61667,76.8,Fell,L6
7000.0,8.85366542803745,1933,48.6,45.66667,Fell,"Iron, IIF"
5000.0,8.517193191416238,1819,45.43333,-0.45,Fell,Eucrite-mmict
32000.0,10.373491181781864,1899,42.53333,-85.88333,Fell,H5
465.5,6.143112096717122,1976,-1.45,29.83333,Fell,L6
779.0,6.658011045870748,1949,29.51667,35.05,Fell,L6
1710.5,7.444541004417659,1916,25.93333,84.28333,Fell,L/LL6
14000.0,9.546812608597396,1914,43.73333,1.38333,Fell,EH5
5000.0,8.517193191416238,1890,42.53333,12.61667,Fell,H5
100.0,4.605170185988092,1916,24.16667,87.76667,Fell,LL
1000.0,6.907755278982137,1841,51.93333,15.5,Fell,H4
350.0,5.857933154483459,1971,41.7,-72.65,Fell,L6
1100000.0,13.9108207377686,1998,42.25,59.2,Fell,H5
100.0,4.605170185988092,1867,28.01667,75.81667,Fell,H6
2450.0,7.803843303538772,1970,9.5,35.33333,Fell,L6
4000.0,8.294049640102028,1973,-26.15,26.18333,Fell,H6
3200.0,8.070906088787819,1898,44.61667,-70.75,Fell,L6
246.0,5.5053315359323625,1858,51.83333,26.83333,Fell,Howardite
1415.0,7.254884810077338,1923,9.06667,38.41667,Fell,Stone-uncl
17000.0,9.740968623038354,2003,24.3,-13.1,Fell,H3-5
219.0,5.389071729816501,1933,52.13333,59.31667,Fell,Eucrite-pmict
25000.0,10.126631103850338,1999,12.45,-0.08333,Fell,Diogenite
1460.0,7.286191714702382,1917,10.2,76.26667,Fell,L6
45000.0,10.714417768752456,1902,61.5,30.5,Fell,"Pallasite, PMG"
61.4,4.117409835153096,1981,44.97917,-122.96944,Fell,L6
78.4,4.361823927356363,1936,35.95,-97.58333,Fell,CM2
14000.0,9.546812608597396,1753,46.21667,5.0,Fell,H3-5
